Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs0359	545	729	703	1198	1245	945
ECs0360	1798	1628	2450	2457	2211	1717
ECs0361	0	1	1	2	0	0
ECs0362	1113	1027	1840	894	670	734
ECs0363	1177	1130	1726	776	722	806
ECs0364	107	145	218	88	74	86
ECs0365	750	758	1108	267	254	308
ECs0366	9	0	30	11	7	13
ECs0367	100	109	157	42	32	54
ECs0368	17	21	62	20	25	25
ECs0369	88	64	108	69	54	63
ECs0370	640	440	430	47	57	92
ECs0371	412	520	681	44	41	64
ECs0372	131	166	222	92	97	111
ECs0373	493	456	386	255	281	428
ECs0374	583	696	990	221	233	294
ECs0375	115	95	164	60	55	46
ECs0376	549	636	943	346	326	348
ECs0377	430	425	620	304	257	279
ECs0378	2861	3250	4348	2392	2213	2648
ECs0379	10943	10089	15129	1846	1742	2110
ECs0380	72	67	125	89	108	78
ECs0381	44	55	73	34	31	51
ECs0382	259	344	429	116	95	108
ECs0383	16983	17655	31884	565	567	738
ECs0384	1566	1398	2186	129	119	101
ECs0385	589	467	509	232	244	339
ECs0386	468	414	531	224	202	228
ECs0387	419	293	445	198	207	235
ECs0388	564	314	567	259	281	358
ECs0389	14198	12278	22125	575	537	602
ECs0390	19657	18106	33103	1712	1419	1759
ECs0391	2980	2889	4903	631	567	597
ECs0392	158	150	202	103	112	165
ECs0393	135	107	185	53	49	43
ECs0394	955	1012	1128	169	185	273
ECs0395	5987	7342	8086	167	198	202
ECs0396	8875	9352	11310	246	162	221
ECs0397	69716	68648	74578	1003	921	1132
ECs0398	3174	2633	3568	1768	1725	2383
ECs0399	865	1003	1342	416	349	406
ECs0400	698	753	1002	340	344	451
ECs0401	422	517	531	70	80	76
ECs0402	94	97	100	58	51	105
ECs0403	62	50	58	55	63	68
ECs0404	122	103	140	76	86	104
ECs0405	49	47	75	38	38	30
ECs0406	88	105	140	77	68	62
ECs0407	79	70	115	48	58	44
ECs0408	260	189	292	128	147	188
