Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs2821	5095	4364	5610	977	817	1827
ECs2822	5335	5584	6666	1138	1183	1912
ECs2823	6752	7206	10555	1822	1524	2341
ECs2824	2914	2597	4219	687	718	1006
ECs2825	3715	2882	4790	941	962	1504
ECs2826	4685	3967	6805	1227	1132	1858
ECs2827	6508	6880	9835	2413	2563	3189
ECs2828	23413	24839	34057	27543	22804	25587
ECs2829	5924	7128	9063	5787	5425	5999
ECs2830	50002	55150	74671	30947	28440	32671
ECs2831	3233	2968	5304	3921	3163	3768
ECs2832	950	1014	1423	874	760	894
ECs2833	1446	1557	2164	1510	1198	1346
ECs2834	2198	2441	3251	2088	1807	2213
ECs2835	27802	30614	32901	32071	34128	44345
ECs2836	19779	24874	31804	27267	24155	27668
ECs2837	5394	6698	8983	6484	5573	6419
ECs2838	16154	21310	25858	19289	17923	20936
ECs2839	24215	32083	39128	24873	22224	25991
ECs2840	3719	3251	6831	4007	2807	3205
ECs2841	15802	19027	25813	12608	11352	13232
ECs2842	3285	3844	5962	4414	3655	4423
ECs2843	2576	2518	4232	2959	2502	2871
ECs2844	3583	3421	6083	4877	3542	4460
ECs2845	3286	3258	5888	3527	2656	3170
ECs2846	24362	24834	33859	11459	10275	11750
ECs2847	29001	28719	48949	29409	24499	26747
ECs2848	916	645	2096	524	421	537
ECs2849	886	685	1726	450	395	643
ECs2850	1199	1146	2323	653	564	913
ECs2851	708	477	1248	559	483	734
ECs2852	788	667	1541	786	606	894
ECs2853	1072	871	1814	809	648	988
ECs2854	860	638	1424	552	469	613
ECs2855	399	285	467	459	344	535
ECs2856	284	177	363	256	246	331
ECs2857	965	684	1162	807	727	1087
ECs2858	1584	1538	2659	1659	1397	1575
ECs2859	257	243	356	431	341	365
ECs2860	416	465	691	606	584	569
ECs2861	511	568	901	736	617	692
ECs2862	314	303	511	416	306	343
ECs2863	86	77	122	92	84	93
ECs2864	403	461	573	558	483	542
ECs2865	902	1061	1363	1354	1244	1215
ECs2866	89	120	103	118	117	140
ECs2867	555	678	679	766	669	661
ECs2868	4754	5680	7189	6582	5791	7022
ECs2869	1524	2082	2348	1350	1088	1375
ECs2870	1436	1659	2234	977	891	1158
ECs2871	9135	9280	12354	9252	8239	10259
ECs2872	5377	5394	7286	6627	6490	8581
ECs2873	6397	7179	10365	12827	11409	12633
ECs2874	1874	1921	2362	693	789	924
ECs2875	233	270	360	150	169	155
ECs2876	788	762	988	453	351	378
ECs2877	1402	1354	1995	597	510	763
ECs2878	5548	5553	7137	16539	17933	25578
ECs2879	1191	1341	1665	1512	1537	2070
ECs2880	315	258	471	273	226	245
ECs2881	183	222	328	186	142	142
ECs2882	1404	1559	1849	926	916	1152
ECs2883	2502	2518	2812	1676	1743	2267
ECs2884	1686	1544	2002	1257	1212	1471
ECs2885	970	849	1162	651	594	668
ECs2886	1276	1155	1468	628	663	807
ECs2887	1825	1700	2226	760	833	869
ECs2888	1461	1791	2303	214	150	201
ECs2889	4176	3806	6923	7722	6274	7679
ECs2890	95	66	112	105	88	83
ECs2891	10	11	46	25	16	13
ECs2892	6744	7507	9770	648	660	703
ECs2893	1868	2060	2985	1957	1787	2066
ECs2894	222	223	363	226	217	202
ECs2895	324	267	544	257	185	237
ECs2896	13	11	24	11	6	13
ECs2897	36	26	44	18	8	10
ECs2898	169	132	286	115	65	109
ECs2899	83	120	154	51	35	65
ECs2900	31279	26945	49530	847	745	783
ECs2901	367	410	631	373	253	372
ECs2902	609	555	619	329	309	427
ECs2903	913	807	888	577	590	761
ECs2904	1299	1330	1750	1393	1194	1427
ECs2905	575	630	783	1250	880	1115
ECs2906	2227	2144	2672	2766	2634	3374
ECs2907	3358	3680	4692	4570	4291	4657
ECs2908	659	740	987	760	609	761
ECs2909	116	151	177	198	141	182
ECs2910	422	483	798	607	544	660
ECs2911	962	906	1988	1180	887	1116
ECs2912	515	549	1115	1011	856	1095
ECs2913	1918	2033	2222	1966	2060	2528
ECs2914	108	125	179	148	99	103
ECs2915	203	170	255	154	112	129
ECs2916	24	19	39	23	37	32
ECs2917	36	42	46	44	31	42
ECs2918	1310	1480	2136	988	895	1011
ECs2919	15779	18191	22195	18649	17141	20530
ECs2920	30607	34333	45278	31150	29552	34417
ECs2921	293	260	472	292	230	241
ECs2922	457	497	747	405	281	351
ECs2923	238	287	383	472	429	437
ECs2924	247	252	338	274	258	369
ECs2925	607	704	1020	698	654	678
ECs2926	67	74	72	75	59	61
ECs2927	294	258	350	574	524	588
ECs2928	539	580	705	696	608	720
ECs2929	97	61	106	82	66	113
ECs2930	217	203	225	147	168	158
ECs2931	660	666	776	592	586	655
ECs2932	1537	1659	2051	1002	910	1116
ECs2933	1006	1186	1323	702	712	788
ECs2934	586	587	966	821	803	878
ECs2935	3779	4078	5751	4564	4189	4680
ECs2936	1042	893	1599	519	388	518
ECs2937	3121	3174	4811	995	863	1056
ECs2938	626	574	1006	189	204	207
ECs2939	3864	3792	4508	2175	1923	1820
ECs2940	806	867	721	546	514	333
ECs2941	1309	1092	703	537	642	523
ECs2942	1009	1019	504	525	593	362
ECs2943	1685	1704	937	944	997	753
ECs2944	495	449	303	258	303	263
ECs2945	240	184	177	103	102	113
ECs2946	140	130	100	67	73	67
ECs2947	132	94	86	79	80	95
ECs2948	49	50	56	47	42	23
ECs2949	994	994	1145	698	616	520
ECs2950	157	175	215	110	66	65
ECs2951	407	484	518	244	148	131
ECs2952	214	287	230	168	155	116
ECs2953	108	111	121	63	41	29
ECs2954	144	166	97	74	62	68
ECs2955	75	53	29	21	20	30
ECs2956	91	112	55	35	46	23
ECs2957	418	469	294	257	189	108
ECs2958	557	634	727	337	391	418
ECs2959	2336	2532	2935	1552	1455	1679
ECs2960	1294	1568	1468	1076	878	933
ECs2961	1095	1085	1012	635	601	502
ECs2962	105	55	43	26	24	30
ECs2963	1035	1050	801	603	606	561
ECs2964	148	181	134	81	62	49
ECs2966	590	567	742	486	370	363
ECs2965	0	0	0	0	0	0
ECs2967	259	255	284	286	213	175
ECs2968	185	180	187	138	115	107
ECs2969	106	77	87	75	55	61
ECs2970	419	279	271	196	220	443
ECs2971	209	217	301	201	180	231
ECs2972	2520	2514	2203	1938	1884	1845
ECs2973	1182	738	2159	995	727	815
ECs2974	6197	6565	11742	7067	6455	8814
ECs2975	224	161	179	226	161	136
ECs2976	84	69	43	54	23	15
ECs2977	709	677	323	442	419	183
ECs2978	75	95	36	45	55	20
ECs2979	294	301	179	210	167	97
ECs2980	63	66	35	40	31	18
ECs2981	814	664	417	535	365	201
ECs2982	433	386	317	305	240	127
ECs2983	500	326	318	382	225	124
ECs2984	380	230	247	310	156	101
ECs2985	2323	2237	1235	1396	1221	566
ECs2986	9714	10029	5183	5873	5193	2599
ECs2987	9469	10605	5586	5873	5967	3193
ECs2988	6268	7365	4315	4207	4274	2512
ECs2989	9074	11377	7199	5833	6185	3869
ECs2990	5944	5605	9672	6725	5331	6528
ECs2991	3113	3325	5166	2929	2624	3038
ECs2992	10142	12251	16514	7763	7100	8157
ECs2994	1207	1532	761	1182	1367	656
ECs2993	10758	13038	6163	7638	7676	3795
ECs2995	36207	44511	19948	24829	25835	12620
ECs2996	9809	11299	6495	7030	6871	3583
ECs2997	0	0	0	0	0	0
ECs2998	0	0	0	0	0	0
ECs2999	0	0	0	0	0	0
ECs3000	3705	4290	2051	2436	2282	1148
ECs3001	13801	15891	7715	9100	8434	4274
ECs3002	9224	9681	5677	6341	5432	2680
ECs3003	661	796	498	462	457	236
ECs3004	415	443	254	305	272	150
ECs3005	1724	2011	1407	1129	1036	767
ECs3006	1678	1814	1377	1036	878	637
ECs3007	5871	6318	5422	3814	3171	2483
ECs3008	1119	1112	1133	693	591	514
ECs3009	2563	2524	2609	1624	1327	1174
ECs3010	2787	2963	2922	1773	1404	1235
ECs3011	2968	3178	2981	1923	1563	1399
ECs3012	2697	2998	2729	1768	1531	1369
ECs3013	16942	21264	21172	14472	14051	14123
ECs3014	1585	1789	2352	828	774	964
ECs3015	3798	3931	4641	2372	2771	3326
ECs3016	2705	2004	3551	464	379	569
ECs3017	3943	2938	3676	435	508	747
ECs3018	6445	6238	8168	653	615	795
ECs3019	7093	7431	10086	6294	5560	6558
ECs3020	15719	18986	23963	7025	6197	8384
ECs3021	2697	3019	3791	3541	3593	4039
ECs3022	1774	1830	2164	275	292	433
ECs3023	2886	3374	4620	1225	1142	1457
ECs3024	870	735	1151	299	270	393
ECs3025	560	526	705	339	309	551
ECs3026	2209	2050	2713	3505	3135	3789
ECs3027	2790	2402	3178	735	796	1049
ECs3028	402	336	342	129	123	179
ECs3029	542	573	657	187	196	221
ECs3030	433	412	475	156	165	182
ECs3031	803	716	683	231	281	372
ECs3032	1524	1794	2328	677	781	786
ECs3033	1779	2290	1440	2164	1835	2249
ECs3034	1482	1864	1332	1705	1550	1987
ECs3035	3425	3244	2388	1530	1328	1668
ECs3036	612	742	1067	710	680	741
ECs3037	98	129	236	142	105	185
ECs3038	481	509	820	256	229	296
ECs3039	437	351	694	249	186	246
ECs3040	857	453	1039	160	138	141
ECs3041	1844	1721	2593	200	145	144
ECs3042	5777	5676	7792	316	299	329
ECs3043	2050	2804	2951	793	740	860
ECs3044	5369	9404	9076	2737	2662	3094
ECs3045	22307	43414	39197	8655	8454	9436
ECs3046	5525	5965	8256	2806	2693	3369
ECs3047	2232	2365	2852	1590	1349	1766
ECs3048	8573	7666	12701	12077	10487	10185
ECs3049	1080	1130	2056	1938	1827	1564
ECs3050	1647	1232	2770	2564	2009	1836
ECs3051	4647	4530	5812	3222	2684	3274
ECs3052	2768	3115	4444	2657	2171	2591
ECs3053	222	252	389	199	169	170
ECs3054	104	128	126	105	73	98
ECs3055	118	154	173	68	51	59
ECs3056	400	429	612	292	304	302
ECs3057	106	137	130	90	59	65
ECs3058	54	52	84	56	42	31
ECs3059	3694	2308	5697	4299	2803	3301
ECs3060	2120	2566	3387	2500	1680	2033
ECs3061	4629	5454	4292	4680	4732	6905
ECs3062	2040	2266	2907	4487	4931	5716
ECs3063	7352	7550	11244	10832	11181	14013
ECs3064	3315	3065	4552	1192	1004	1171
ECs3065	1749	1560	3016	1377	1129	1246
ECs3066	3014	3589	4546	4641	4605	5055
ECs3067	26663	30220	43235	47247	43341	50021
ECs3068	4337	4980	6471	8464	7979	9254
ECs3069	2642	3126	3981	2258	2109	2487
ECs3070	1185	1292	1547	904	885	1136
ECs3071	1310	1269	1811	970	833	983
ECs3072	4230	4672	5747	3572	3357	3833
ECs3073	3477	4293	5645	2948	3319	2986
ECs3074	4045	4442	5905	6210	5976	7432
ECs3075	3885	4624	5860	5887	5519	6516
ECs3076	1490	1632	1999	1972	1956	2459
ECs3077	50004	52428	79714	76569	68633	78805
ECs3078	14424	13051	20521	11403	8983	9889
ECs3079	4361	5278	6246	6110	5660	6189
ECs3080	14256	16252	20348	20304	18209	20840
proL	232	274	346	367	378	424
ECs3081	1509	1778	2251	1854	1506	1731
ECs3082	1011	819	1782	1452	1102	1287
ECs3083	787	784	1164	708	709	901
ECs3084	198	222	297	190	178	215
ECs3085	442	239	466	332	280	338
ECs3086	136	85	176	116	129	162
ECs3087	35	16	25	23	36	37
ECs3088	235	175	299	262	204	212
ECs3089	249	251	283	218	178	232
ECs3090	367	476	465	376	358	478
ECs3091	328	459	505	379	306	352
ECs3092	65	72	70	37	22	40
ECs3093	49	56	61	30	47	39
ECs3094	42	21	34	28	17	20
ECs3095	463	467	608	355	305	370
ECs3096	9	14	14	10	11	15
ECs3097	83	114	136	59	57	65
ECs3098	4199	4099	5825	5591	4989	5061
ECs3099	3090	2286	3398	7117	6350	5485
ECs3100	2686	2018	2976	2198	1719	2201
ECs3101	706	634	904	604	462	554
ECs3102	2406	1877	2006	1845	2083	2840
ECs3103	2332	2633	3555	6913	6404	7444
ECs3104	219375	282700	395632	191703	169897	235779
micF	169	167	280	72	98	82
ECs3105	17881	20230	30274	15409	12971	15029
ECs3106	19459	23685	29532	15511	13486	15219
ECs3107	17485	19641	29007	9625	8588	9531
ECs3108	330	281	456	184	129	161
ECs3109	245	258	309	100	134	181
ECs3110	279	241	418	187	143	174
ECs3111	1719	1873	2280	1278	1198	1394
ECs3112	56	72	85	80	59	75
ECs3113	176	199	253	262	193	241
ECs3114	65432	55869	96026	61067	45538	47580
ECs3115	6636	6481	8244	4250	4143	5132
ECs3116	1250	970	2054	1296	967	1281
ECs3117	21945	20139	32762	19504	18444	23831
ECs3118	8709	7481	13637	6792	5840	7335
ECs3119	1306	1159	1453	847	932	1184
ECs3120	2481	2044	3770	1564	1208	1384
ECs3121	304	307	414	282	256	276
ECs3122	228	249	382	60	75	52
ECs3123	46	50	100	22	16	15
ECs3124	7392	7086	10422	842	748	792
ECs3125	8020	7371	9510	258	176	233
ECs3126	1970	1452	2167	176	179	249
ECs3127	1589	1401	1848	168	172	247
ECs3128	1213	1200	1550	374	315	351
ECs3129	497	527	920	415	363	395
ECs3130	1747	1936	2782	1514	1355	1515
ECs3131	374	469	488	506	443	495
ECs3132	569	742	793	331	327	396
ECs3133	2047	2361	2699	1445	1310	1540
ECs3134	260	333	380	172	134	171
ECs3135	191	204	338	169	119	141
ECs3136	157	141	236	105	114	104
ECs3137	7741	9242	11345	3642	3025	3811
ECs3138	301	245	364	764	608	756
ECs3139	802	675	931	691	644	1054
ECs3140	2315	2661	3902	3114	3264	4706
ECs3141	9231	10004	14815	7343	6733	9596
ECs3142	5411	5700	8728	3224	2941	3948
ECs3143	12486	11550	18360	6768	6377	9427
ECs3144	4485	4198	6613	2766	2757	3750
ECs3145	6065	6010	10354	5324	4836	6964
ECs3146	2458	2242	4047	2162	2033	2788
ECs3147	493	489	720	383	346	523
ECs3148	3481	2495	4066	2083	1713	2121
ECs3149	6001	4840	6618	1933	2029	2757
ECs3150	8935	8444	12036	2579	2538	3270
ECs3151	612	372	368	134	215	281
ECs3152	2324	1941	2261	991	1119	1526
ECs3153	5454	5915	8389	2205	1869	2420
ECs3154	31658	33700	52139	1170	1063	1163
ECs3155	4084	3965	7519	844	766	991
ECs3156	2557	2897	4360	2309	2135	2227
ECs3157	226	255	468	130	117	134
ECs3158	27	29	48	75	34	81
ECs3159	129	118	172	186	173	170
ECs3160	17299	16183	16549	17146	21847	26857
ECs3161	18272	16721	22337	18669	18829	20402
ECs3162	11393	8761	12315	10442	10458	11214
ECs3163	711	480	628	496	490	606
ECs3164	3437	3605	4816	3520	3008	2928
ECs3165	3718	3013	4129	3111	2849	2996
ECs3166	10310	9291	12685	9304	9599	9591
ECs3167	38678	36639	45258	29584	33330	35313
ECs3168	13479	9572	15601	8595	8209	9328
ECs3169	5625	3817	5710	3114	3233	3610
ECs3170	30837	30338	39064	20574	21764	22731
ECs3171	22463	24665	31660	17173	18674	18428
ECs3172	14870	12260	14887	9178	12075	14067
ECs3173	1843	2182	2602	3107	3011	3300
ECs3174	9949	12375	15533	4449	3768	4898
ECs3175	2164	2666	3416	1533	1285	1606
ECs3176	2800	2799	4020	3096	2488	3051
ECs3177	6581	6907	8729	2321	2057	2700
ECs3178	7657	9191	12704	3546	3092	3760
ECs3179	3211	3910	4962	2685	2526	3059
ECs3180	29054	30273	48217	72482	62133	82717
ECs3181	38287	34342	50986	59610	55630	79344
ECs3182	796	781	1161	1269	1147	1294
ECs3183	4602	4976	6168	3374	3257	3681
ECs3184	4911	5856	7720	3194	3052	3457
ECs3185	4590	5584	7529	691	601	726
ECs3186	1756	1800	2635	207	153	177
ECs3187	1831	2027	2923	1167	1127	1193
ECs3188	3867	4297	5125	2151	2199	2722
ECs3189	771	905	1155	539	453	506
ECs3190	2435	1994	3499	368	318	383
ECs3191	2008	1894	3330	373	341	324
ECs3192	4377	4100	7097	802	658	593
ECs3193	11757	13165	19286	1545	1367	1487
ECs3194	7825	9321	11821	1462	1371	1345
ECs3195	5206	6078	8072	2875	2678	3060
ECs3196	96742	99374	140273	5911	5394	6005
ECs3197	45755	47752	73470	5448	4590	5188
ECs3198	4355	3434	5276	4721	4497	5571
ECs3199	6660	5146	9588	7375	6092	7537
ECs3200	34463	38543	47948	37251	35803	43897
ECs3201	4088	4978	6464	3942	3136	3776
ECs3202	4727	4728	5675	3454	3095	4217
ECs3203	9884	11562	14888	10747	9264	11038
ECs3204	10591	12113	15441	9175	8796	10490
ECs3205	2463	2661	3578	2571	2136	2635
ECs3206	1614	1626	2071	2155	2218	2974
ECs3207	11615	8195	19923	8088	5419	5984
ECs3208	2560	3134	3793	1905	1731	2275
ECs3209	1957	2236	3145	2746	2481	3056
ECs3210	2571	2898	3710	2781	2749	3142
ECs3211	2958	3453	4766	3210	2765	3677
ECs3212	3952	4016	5044	2778	2830	3355
ECs3213	10776	10587	12797	5462	5841	7442
ECs3215	6856	7588	9237	5939	5642	6629
ECs3214	1252	1115	1358	1123	1183	1572
ECs3216	367	421	538	513	464	529
ECs3217	88	72	97	69	87	65
ECs3218	75	108	132	83	75	106
ECs3219	56	72	96	55	45	74
ECs3220	65	78	103	62	67	67
ECs3221	334	288	380	269	247	328
ECs3222	48	47	73	77	56	48
ECs3223	11570	9202	19965	16001	12273	13759
ECs3224	2658	2322	3468	834	707	684
ECs3225	1255	1098	1476	287	303	394
ECs3226	606	667	919	474	317	344
ECs3227	23528	26461	39809	31019	27416	36360
ECs3228	118	151	249	259	212	330
ECs3229	6631	7097	10859	4159	3715	4342
ECs3230	1020	1060	1730	342	270	320
argW	105	116	157	149	135	156
ECs3231	556	727	1014	856	759	845
ECs3232	195	242	257	115	119	149
ECs3233	130	177	210	123	93	101
ECs3234	90	125	179	67	53	64
ECs3235	58	72	97	79	64	59
ECs3236	197	201	274	152	121	138
ECs3237	13	11	10	11	9	16
ECs3238	1079	1215	1858	777	721	823
ECs3239	347	456	574	363	373	505
ECs3240	231	297	478	362	301	370
ECs3241	455	434	688	534	454	474
ECs3242	96	108	184	125	116	103
ECs3243	1208	969	1716	1558	1185	1313
ECs3244	6684	6666	10011	6983	6180	6922
ECs3245	1345	1083	2001	836	676	759
ECs3246	150	177	292	246	248	272
ECs3247	68	81	101	50	29	36
ECs3248	859	1021	1714	602	599	714
ECs3249	1989	2093	3605	1857	1619	2054
ECs3250	213	235	329	283	239	248
ECs3251	13	17	10	10	12	9
ECs3252	98	103	129	123	104	87
ECs3253	221	216	293	193	200	190
ECs3254	148	230	295	177	155	174
ECs3255	96	83	142	100	56	79
ECs3256	49	37	117	60	40	70
ECs3257	301	240	484	191	133	197
ECs3258	21201	27201	27224	24988	22847	28682
ECs3259	4390	5389	6246	1455	1277	1616
ECs3260	2245	2616	3582	3666	3223	4092
ECs3261	1854	1885	3074	2018	1878	2296
ECs3262	1372	1375	1895	1300	1283	1566
ECs3263	637	698	900	684	648	882
ECs3264	111	112	99	64	72	103
ECs3265	169	134	219	101	114	82
ECs3266	197	155	255	129	113	144
ECs3267	42	64	86	24	27	21
ECs3268	2856	2426	3884	667	479	514
ECs3269	1897	1827	2536	691	673	688
ECs3270	6499	10928	8394	2040	1778	1788
ECs3271	4685	5257	6498	1882	1542	1552
ECs3272	35941	40032	56133	8154	7523	8600
ECs3273	4883	5117	8018	9921	9404	10787
alaX	312	334	391	1068	1077	1193
alaW	205	274	346	714	664	892
ECs3274	2110	2579	3604	1591	1622	1848
ECs3275	1820	2394	2961	1608	1399	1784
ECs3276	2333	2788	3676	3539	3217	3894
ECs3277	1643	1930	2561	2487	2113	2307
ECs3278	28993	30519	42671	19642	18615	21948
valU	838	743	2014	2117	2008	2774
valX	1557	1215	3457	3510	3206	4604
valY	159	162	434	473	468	664
lysV	67	55	71	172	173	242
ECs3279	593	851	692	699	707	600
ECs3280	526	660	600	435	392	485
ECs3281	1109	1310	1730	885	846	942
ECs3282	2770	2974	4094	1616	1335	1658
ECs3283	8953	9210	13678	7091	6173	7990
ECs3284	13859	15674	20470	9204	8704	10999
ECs3285	2775	3481	4030	2949	2640	2922
ECs3286	148485	215510	302004	3567	3418	3862
ECs3287	28446	32338	42527	15585	14138	15808
ECs3288	104444	110519	158842	51876	47382	53557
ECs3289	49843	55342	76824	25600	22667	25185
ECs3290	5365	6467	9353	2826	2503	3276
ECs3291	1192	1058	2004	505	481	501
ECs3292	8203	9104	16302	508	432	456
ECs3293	33021	30295	36278	265	366	492
ECs3294	10011	11531	16276	185	171	296
ECs3295	15370	16798	30952	249	212	266
ECs3296	28323	30894	66276	354	311	317
ECs3297	4076	3624	3929	734	720	1035
ECs3298	345	343	543	162	111	132
ECs3299	515	453	720	224	177	143
ECs3300	600	448	701	254	280	279
ECs3301	792	698	1027	585	531	562
ECs3302	7675	7765	9468	8276	7913	8455
ECs3303	10382	10507	14420	4776	4117	5143
ECs3304	797	556	1228	720	478	591
ECs3305	1678	1284	2638	1298	876	1064
ECs3306	1881	2174	2849	3125	2700	3042
ECs3307	1160	980	1046	1044	1093	1327
ECs3308	598	647	832	359	398	389
ECs3309	374	366	504	86	90	148
ECs3310	460	459	572	141	156	186
ECs3311	366	293	401	103	114	160
ECs3312	658	556	808	159	138	151
ECs3313	261	177	249	62	76	107
ECs3314	296	251	380	102	133	136
ECs3315	48	29	27	22	24	32
ECs3316	26	21	38	10	20	19
ECs3317	60	33	60	17	22	40
ECs3318	6	0	10	4	6	4
ECs3319	49	32	39	22	20	13
ECs3320	35	20	39	21	16	28
ECs3321	47	50	27	20	33	32
ECs3322	40	42	53	49	37	33
ECs3323	23	20	32	27	22	18
ECs3324	15	10	25	7	8	4
ECs3325	9268	7941	11140	2224	1798	2046
ECs3326	11892	12600	16939	551	508	529
ECs3327	20238	16618	25396	1025	935	1045
ECs3328	2578	2444	2242	817	815	991
ECs3329	1189	1134	1835	593	489	662
ECs3330	477	430	592	292	277	350
ECs3331	1556	1726	2508	1522	1452	1819
ECs3332	1654	1550	2375	1813	1681	2093
ECs3333	195	303	308	530	399	501
ECs3334	6323	6311	7613	8588	8520	10353
ECs3335	4598	3555	2905	1065	934	1182
ECs3336	3547	3068	4636	1990	1626	2039
ECs3337	5779	4662	7591	1861	1540	1820
ECs3338	44318	41861	63479	1918	1694	1887
ECs3339	36658	34365	43842	20711	20835	25972
ECs3340	36074	38536	52933	23617	21554	25875
ECs3341	4458	5405	7065	1534	1540	1967
ECs3342	7006	9065	12703	4008	3761	4583
ECs3343	146	144	177	106	111	130
ECs3344	300	304	436	184	183	209
ECs3345	42	43	109	48	27	14
ECs3346	179	160	226	114	140	154
ECs3347	185	202	294	142	145	173
ECs3348	411	391	542	374	385	437
ECs3349	550	478	640	359	316	375
ECs3350	149	111	167	68	103	86
ECs3351	170	91	182	72	94	126
ECs3352	46	26	75	36	13	24
ECs3353	478	441	812	373	282	327
ECs3354	840	895	1248	834	724	847
ECs3355	4033	4567	5928	3629	3228	3473
ECs3356	7139	6764	9009	2266	2178	2725
ECs3357	2896	2962	4292	1678	1368	1626
ECs3358	5483	4391	9331	4444	3752	4330
ECs3359	20505	16869	39274	3999	3530	4613
ECs3360	38523	35088	69244	11090	10000	11383
ECs3361	69993	70423	103989	2394	2271	2414
ECs3362	26652	21415	28317	1263	1291	1581
ECs3363	15833	17544	23959	7597	6533	7949
ECs3364	10401	11623	15769	5223	4860	5596
ECs3365	1156	1320	1697	1064	927	995
ECs3366	2713	3407	5036	1708	1564	2031
ECs3367	121	134	168	102	107	115
ECs3368	598	724	1022	581	538	639
ECs3369	48026	48973	73036	30366	24950	30010
ECs3370	22240	18408	30476	10774	8870	11167
ECs3371	6844	7183	8703	7083	7569	9429
ECs3372	1487	1685	2477	2415	2067	2252
ECs3373	20673	21364	30471	38453	32830	37451
ECs3374	31673	28470	44115	34243	29287	35628
ECs3375	12909	12554	19056	14961	12786	14221
ECs3376	26224	27380	35640	35786	32920	38360
ECs3377	18511	21776	25788	25998	25480	29535
ECs3378	22932	25550	31518	27895	26610	30457
ECs3379	23739	24563	33140	46294	46046	47963
ECs3380	24560	20951	29706	13757	17335	20013
ECs3381	478	635	834	469	365	418
ECs3382	741	717	1123	588	460	603
ECs3383	289	240	405	248	190	202
ECs3384	439	431	664	418	379	395
ECs3385	877	913	1174	583	674	852
ECs3386	8590	9754	13781	5476	4614	6045
ECs3387	3804	3511	5788	1569	1357	1535
ECs3388	3063	3148	4316	2270	2072	2484
ECs3389	9659	7795	10870	6278	5632	6995
ECs3390	1823	1957	2604	1582	1415	1506
ECs3391	3168	3561	4797	2797	2304	2661
ECs3392	8595	6846	7759	6322	6800	9651
ECs3393	4015	4653	6051	4635	4158	4666
ECs3394	6237	7347	9449	6299	5462	6063
ECs3395	4835	5809	7124	5346	4678	5067
ECs3396	12203	14398	15412	11960	11367	14078
ECs3397	6029	8785	9296	5131	4471	5506
ECs3398	5672	5572	7531	10099	8874	10170
ECs3399	27540	26649	39730	51328	50530	64500
ECs3400	711	913	1237	1982	1850	2042
ECs3401	2153	2345	3457	1728	1403	1672
ECs3402	2702	2354	2916	2596	2476	3222
ECs3403	342	365	556	198	124	135
ECs3404	138	158	225	157	130	145
ECs3405	63	50	59	38	61	43
ECs3406	37	27	50	55	38	36
ECs3407	148	98	134	77	120	118
ECs3408	307	362	404	180	232	264
ECs3409	1341	1479	2514	101	87	102
ECs3410	282	283	396	130	106	109
ECs3411	178	188	217	148	105	132
ECs3412	100	85	109	51	54	57
ECs3413	278	315	400	246	187	176
ECs3414	77	66	135	52	22	51
ECs3415	423	359	489	282	217	286
ECs3416	1687	1910	2552	1093	875	1011
ECs3417	111218	120387	167072	15403	13310	15593
ECs3418	1061	926	1562	832	678	863
ECs3419	6071	6809	10115	4114	3561	4155
ECs3420	3632	3656	4896	3437	2904	3377
ECs3421	2789	3078	3790	2721	2518	2888
ECs3422	4222	4786	5784	3995	3517	3856
ECs3423	70150	50319	73290	3074	2943	3463
ECs3424	1992	2188	2888	4117	3822	4247
ECs3425	2209	2429	3525	3894	3818	4589
ECs3426	3028	3550	4287	2221	2135	2372
ECs3427	1429	1527	2165	2772	2476	2549
ECs3428	482	419	755	1075	1025	1132
ECs3429	1579	1783	2659	1311	1247	1367
ECs3430	4784	5176	6001	3246	3260	3953
ECs3431	4079	4286	5288	5260	5336	5924
ECs3432	18061	19612	26398	25780	23631	27896
ECs3433	11424	10980	13696	13786	14957	17616
ECs3434	21013	21588	29487	26129	24588	28886
ECs3435	34783	35648	47954	47207	42539	49211
ECs3436	5633	5925	7334	4532	4437	5439
ECs3437	18594	19829	27876	12834	11676	13538
ECs3438	50008	54582	69954	22214	19038	23088
ECs3439	36148	38867	52267	19262	16891	20308
ECs3440	16961	17984	25783	1522	1431	1674
ECs3441	2764	2937	3809	2533	2489	3233
ECs3442	16726	17232	22444	23728	22508	26421
ECs3443	1270	1539	2088	1714	1384	1802
ECs3444	333	433	557	346	262	276
ECs3445	4284	5310	3183	1827	1617	1253
ECs3446	2271	2633	3484	2801	2448	2875
ECs3447	14139	12088	18694	16899	15597	21122
ECs3448	10189	11337	6330	3666	3515	3434
ECs3449	1492	1847	1736	2633	2518	2700
ECs3450	5016	4726	5797	1979	2038	2450
ECs3451	4364	4780	6707	1724	1790	1808
ECs3452	18780	20983	28042	20258	18799	22388
ECs3453	586	702	904	746	764	898
ECs3454	3469	4252	5085	4347	3915	4298
rrfG	20	20	35	20	95	16
rrlG	5584	2458	8483	9282	211206	5011
gltW	2358	2872	4525	4762	4991	7584
rrsG	6003	6938	13083	6213	128021	7010
ECs3455	20850	22794	31114	8851	8145	9810
ECs3456	5639	4988	7037	6411	6185	8523
ECs3457	12039	13085	19044	13411	12482	15056
ECs3458	21486	24843	33272	18079	16497	19366
ECs3459	104	118	201	168	178	216
ECs3460	25433	38562	45433	2242	1841	2869
