FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	70	1	70	0	0	A_07_P048903	ABH-0244104	14111.3	341.426	3.87E+01	5.42E+00	87	47	1.58E+01	0	0	0	0	0	0	34.4755	1	1	56.6442	50.9281
DATA	71	1	71	66	-1	(-)3xSLv1	NegativeControl	14153.6	341.482	3.78E+00	3.81E+00	51	49	1.64E+01	0	0	0	0	0	0	-2.14194	0	0	56.6442	52.6816
DATA	72	1	72	0	0	A_07_P033198	c_3599	14197	340.152	1.37E+02	1.42E+01	175.5	48	1.64E+01	0	0	0	0	0	0	120.914	1	1	39.0393	51.5698
DATA	73	1	73	0	0	A_07_P038108	c_1453	14237.8	341.379	1.39E+03	1.39E+02	1257	47	1.69E+01	0	0	0	0	0	0	1224.41	1	1	48.4678	51.9441
DATA	74	1	74	0	0	A_07_P006827	b1175	14280.2	341.433	1.37E+03	1.37E+02	1200	47	1.58E+01	0	0	0	0	0	0	1197.3	1	1	49.172	51.1758
DATA	75	1	75	0	0	A_07_P006282	b2862	14322.9	341.213	2.95E+01	4.87E+00	77	48	1.64E+01	0	0	0	0	0	0	25.6682	1	1	42.1446	51.8192
DATA	76	1	76	0	0	A_07_P056833	ECs0833	14364.7	341.253	4.24E+02	4.26E+01	399	48	1.67E+01	0	0	0	0	0	0	367.487	1	1	47.7532	51.8101
DATA	77	1	77	0	0	A_07_P048706	ABH-0244025	14407.5	340.239	6.11E+01	7.26E+00	101	47	1.56E+01	0	0	0	0	0	0	52.7356	1	1	39.7664	50.6377
DATA	78	1	78	0	0	A_07_P039987	c_4518	14449.3	341.965	3.32E+02	3.35E+01	335	47	1.60E+01	0	0	0	0	0	0	285.05	1	1	47.8731	51.3615
DATA	79	1	79	0	0	A_07_P055732	ECs2909	14491.6	341.529	2.31E+02	2.35E+01	239	47	1.59E+01	0	0	0	0	0	0	197.205	1	1	48.8211	51.135
DATA	80	1	80	66	1	DarkCorner	DarkCorner	14534.5	341.278	3.96E+00	3.99E+00	50	47	1.64E+01	0	0	0	0	0	0	-0.878819	0	0	65	51.5081
DATA	81	1	81	260	1	GE_BrightCorner	GE_BrightCorner	14576.4	341.815	1.91E+03	1.91E+02	1536	46	1.48E+01	0	0	0	0	0	0	1610.57	1	1	49.6359	49.5821
DATA	82	1	82	260	1	GE_BrightCorner	GE_BrightCorner	14618.8	341.731	1.85E+03	1.85E+02	1520	47	1.57E+01	0	0	0	0	0	0	1549.25	1	1	49.172	50.5232
DATA	83	2	1	260	1	GE_BrightCorner	GE_BrightCorner	11211.3	352.982	1.99E+03	1.99E+02	1528	47.5	1.58E+01	0	0	0	0	0	0	1610.33	1	1	49.6359	51.7241
DATA	84	2	2	66	1	DarkCorner	DarkCorner	11254.1	352.44	4.18E+00	4.22E+00	51	49	1.68E+01	0	0	0	0	0	0	-7.79038	0	0	56.2381	53.1611
DATA	85	2	3	66	-1	(-)3xSLv1	NegativeControl	11296.5	352.484	4.21E+00	4.25E+00	48	50	1.70E+01	0	0	0	1	0	0	-9.21726	0	0	65	52.5345
DATA	86	2	4	0	0	A_07_P043216	Z4083	11338.2	353.062	3.20E+01	5.35E+00	77	51	1.74E+01	0	0	0	0	0	0	25.3159	1	1	38.5965	54.1765
