FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	77	1	77	0	0	A_07_P048706	ABH-0244025	14406.6	4449.07	6.12E+01	1.00E+01	126	48	1.71E+01	0	0	0	0	0	0	61.5097	1	1	42.2804	52.4565
DATA	78	1	78	0	0	A_07_P039987	c_4518	14449.3	4448.83	2.81E+02	2.92E+01	350	49	1.66E+01	0	0	0	0	0	0	279.08	1	1	47.0278	52.7509
DATA	79	1	79	0	0	A_07_P055732	ECs2909	14491.5	4448.68	1.61E+02	1.80E+01	222.5	50	1.78E+01	0	0	0	0	0	0	158.104	1	1	45.9182	54.2594
DATA	80	1	80	66	1	DarkCorner	DarkCorner	14534.5	4449	8.16E+00	8.24E+00	59	50	1.69E+01	0	0	0	0	0	0	-8.77393	0	0	65	53.2803
DATA	81	1	81	260	1	GE_BrightCorner	GE_BrightCorner	14576.2	4449.2	1.08E+03	1.08E+02	1048.5	48	1.64E+01	0	0	0	0	0	0	1036.04	1	1	47.9926	52.2486
DATA	82	1	82	260	1	GE_BrightCorner	GE_BrightCorner	14618.5	4449.1	1.08E+03	1.09E+02	1055	49	1.63E+01	0	0	0	0	0	0	1028.69	1	1	47.3919	52.1017
DATA	83	2	1	260	1	GE_BrightCorner	GE_BrightCorner	11211.3	4460.03	8.65E+02	8.68E+01	945	49	1.61E+01	0	0	0	0	0	0	890.652	1	1	48.3494	51.7993
DATA	84	2	2	66	1	DarkCorner	DarkCorner	11253.7	4460.02	7.73E+00	7.83E+00	79	49	1.57E+01	0	0	0	0	0	0	7.24283	0	0	36.1434	52.5415
DATA	85	2	3	66	-1	(-)3xSLv1	NegativeControl	11296.3	4459.56	1.91E+01	8.05E+00	85	53	1.88E+01	0	0	0	1	0	0	19.53	1	0	56.7452	56.338
DATA	86	2	4	0	0	A_07_P043216	Z4083	11338.5	4459.68	4.71E+01	9.14E+00	127	49	1.79E+01	0	0	0	0	0	0	48.1806	1	1	44.1368	53.4756
DATA	87	2	5	0	0	A_07_P046211	Z4865	11380.9	4459.85	4.15E+02	4.22E+01	507	49	1.62E+01	0	0	0	0	0	0	423.406	1	1	49.2883	52.7222
DATA	88	2	6	66	-1	(-)3xSLv1	NegativeControl	11423.3	4459.58	8.04E+00	7.89E+00	85	51	1.63E+01	0	0	0	1	0	0	8.20468	1	0	56.6442	53.8295
DATA	89	2	7	66	-1	(-)3xSLv1	NegativeControl	11465.7	4459.7	9.71E+00	7.91E+00	86	48	1.55E+01	0	0	0	1	0	0	9.9072	1	0	42.0085	51.4628
DATA	90	2	8	0	0	A_07_P044075	Z2504	11507.9	4459.56	1.15E+02	1.39E+01	196.5	50	1.74E+01	0	0	0	0	0	0	117.401	1	1	56.2381	53.7608
DATA	91	2	9	66	-1	(-)3xSLv1	NegativeControl	11550.2	4459.59	7.77E+00	7.84E+00	70	50	1.65E+01	0	0	0	0	0	0	-5.65357	0	0	56.4415	52.7911
DATA	92	2	10	0	0	A_07_P017971	b3389	11592.5	4459.87	4.48E+03	4.48E+02	4269.5	49	1.65E+01	0	0	0	0	0	0	4584.91	1	1	49.7512	52.0686
DATA	93	2	11	66	-1	(-)3xSLv1	NegativeControl	11634.9	4459.56	3.55E+01	8.58E+00	103	50	1.70E+01	0	0	0	1	0	0	36.4398	1	0	56.2381	53.3539
DATA	94	2	12	0	0	A_07_P008305	b0322	11677.5	4459.6	9.34E+02	9.37E+01	1018	49	1.80E+01	0	0	0	0	0	0	959.362	1	1	48.9384	53.7675
DATA	95	2	13	0	0	A_07_P062796	ECs2582	11719.5	4459.79	1.55E+03	1.55E+02	1672	49.5	1.69E+01	0	0	0	0	0	0	1596.88	1	1	48.8211	52.8268
DATA	96	2	14	0	0	A_07_P047146	Z5490	11761.6	4459.93	2.60E+02	2.72E+01	325	50	1.72E+01	0	0	0	0	0	0	268.821	1	1	47.9926	54.1289
DATA	97	2	15	0	0	A_07_P017987	b3392	11804.1	4459.72	3.44E+02	3.53E+01	430	50	1.67E+01	0	0	0	0	0	0	356.907	1	1	48.7036	53.2509
DATA	98	2	16	0	0	A_07_P039063	c_4688	11846.4	4459.85	9.77E+01	1.24E+01	171.5	50	1.66E+01	0	0	0	0	0	0	101.584	1	1	43.2185	53.2261
DATA	99	2	17	0	0	A_07_P032476	c_2879	11888.9	4460	7.60E+00	7.70E+00	79.5	51	1.68E+01	0	0	0	0	0	0	7.22713	0	0	54.2679	54.2629
DATA	100	2	18	0	0	A_07_P050293	Z1809	11931.5	4460.07	1.64E+03	1.64E+02	1778	50	1.91E+01	0	0	0	0	0	0	1719.22	1	1	49.981	55.0157
DATA	101	2	19	0	0	A_07_P061654	ECs5249	11973.6	4460.31	3.64E+02	3.72E+01	453	51	1.69E+01	0	0	0	0	0	0	383.468	1	1	47.7532	54.1975
DATA	102	2	20	0	0	A_07_P018342	b1656	12015.9	4460.13	3.28E+03	3.28E+02	3364	50	1.58E+01	0	0	0	0	0	0	3466.7	1	1	47.3919	52.3763
DATA	103	2	21	0	0	A_07_P047033	Z5416	12058.1	4459.15	1.17E+02	1.39E+01	201	51	1.71E+01	0	0	0	0	0	0	124.055	1	1	40.3386	54.1762
DATA	104	2	22	66	-1	(-)3xSLv1	NegativeControl	12100.5	4460	4.26E+01	8.63E+00	112.5	50	1.69E+01	0	0	0	1	0	0	45.447	1	1	54.5837	53.9555
