"subject"	"query.name"	"logFC.x"	"logFC.y"	"t"	"P.Value"	"adj.P.Val"	"B"
"57"	"ECs0043"	"A_07_P010887"	-0.349484910216823	-0.410385629	-1.014068372	0.343329634	0.428378185	-6.526823022
"58"	"ECs0044"	"A_07_P010892"	0.0142300733829089	0.307028944	1.517567191	0.171632848	0.236324897	-6.281136569
"59"	"ECs0044"	"A_07_P010892"	-0.0506482062519618	0.307028944	1.517567191	0.171632848	0.236324897	-6.281136569
"60"	"ECs0044"	"A_07_P010892"	-0.119140417539349	0.307028944	1.517567191	0.171632848	0.236324897	-6.281136569
"61"	"ECs0044"	"A_07_P010892"	-0.190457564761787	0.307028944	1.517567191	0.171632848	0.236324897	-6.281136569
"62"	"ECs0046"	"A_07_P010905"	0.126767311237368	0.011058774	0.076240842	0.941297808	0.958128613	-7.431472007
"63"	"ECs0047"	"A_07_P010908"	-0.0377155923515509	-0.031894054	-0.08984425	0.930853367	0.949442638	-6.704632553
"64"	"ECs0048"	"A_07_P010912"	-0.0011942113946498	-0.66641547	-4.004967047	0.004842268	0.010522064	-2.855252284
"65"	"ECs0049"	"A_07_P010917"	-1.64199803918088	-1.560466128	-5.284556479	0.001035371	0.002734802	-1.253966289
"66"	"ECs0050"	"A_07_P010924"	-0.897279102808249	-1.195205758	-13.72153853	1.96e-06	1.54e-05	5.379993294
"67"	"ECs0051"	"A_07_P049144"	1.83914789182307	1.435099749	12.55577758	3.64e-06	2.51e-05	4.452084904
"68"	"ECs0051"	"A_07_P010929"	1.56682970216339	1.435099749	12.55577758	3.64e-06	2.51e-05	4.452084904
"69"	"ECs0051"	"A_07_P035679"	1.5488861926816	1.435099749	12.55577758	3.64e-06	2.51e-05	4.452084904
"70"	"ECs0051"	"A_07_P059409"	1.70519383184857	1.435099749	12.55577758	3.64e-06	2.51e-05	4.452084904
"71"	"ECs0052"	"A_07_P059413"	1.20925143575836	1.226673459	11.07559106	8.66e-06	4.95e-05	3.586194756
"72"	"ECs0052"	"A_07_P035683"	1.07826320754266	1.226673459	11.07559106	8.66e-06	4.95e-05	3.586194756
"73"	"ECs0052"	"A_07_P049148"	1.34086702264271	1.226673459	11.07559106	8.66e-06	4.95e-05	3.586194756
"74"	"ECs0053"	"A_07_P035688"	1.17198978473666	0.97760029	9.432143485	2.58e-05	0.000117746	2.43837684
"75"	"ECs0053"	"A_07_P049155"	1.42175628871196	0.97760029	9.432143485	2.58e-05	0.000117746	2.43837684
